regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,1.5817306856948745,3.9657785500718696,492,360,114,75,10,69.91869918699187,6.058556450018212,-11.944576227481075,0.6429799535346866,-73.31987568488421,0.06429799535346867,0.06429799535346867,1.1789493288736828,1.4946826772596504,24.6,88.0108077064452,158.17306856953292,10158.173068569487,10158.173068569487,10000.0,1000.0,0.0410675999992236,4.740323699999863,7.999988156370819e-07,3.460000152699649e-05,7.724355800000922,0.005151200002728729,12.510986099998263
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,1.5632523042617867,3.938626663080965,568,425,141,90,10,71.12676056338029,5.279282034383682,-11.098655372186286,0.550440952205029,-73.31987568488421,0.0550440952205029,0.0550440952205029,1.1717690283345386,1.495647570760736,28.4,86.96622604412559,156.32523042622825,10156.325230426179,10156.325230426179,10000.0,1000.0,0.1600097000009555,3.8012261999974726,8.00002453615889e-07,0.0002037999984167982,7.509652900000219,0.0074613000033423305,11.47864959999788
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.9307408198818848,4.0184969707030715,448,328,104,68,10,68.30357142857143,6.202103963838448,-12.054194710972512,0.4155092945903317,-73.31987568488421,0.041550929459033166,0.041550929459033166,1.1087507373695646,0.9434094263673377,22.4,84.11048188332308,93.0740819882343,10093.074081988188,10093.074081988188,10000.0,1000.0,0.0368001999995613,4.684950499999104,6.000009307172149e-07,3.3399999665562063e-05,8.582673299999442,0.006018399999447865,13.31084810000175
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.8964988465853638,3.48355898129234,186,117,24,27,10,76.34408602150538,7.952711991398917,-21.590575760489422,0.9639772543930735,-58.21953341567189,0.09639772543930736,0.09639772543930736,1.1887395131288852,0.9912344751478613,9.3,75.6110794805049,89.64988465855583,10089.649884658536,10089.649884658536,10000.0,1000.0,0.030692199998156866,2.6885502000004635,3.00002284348011e-07,2.3200002033263445e-05,6.542057399998157,0.003987799998867558,9.265344700001151
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.21399778479808448,3.7745307032409325,292,250,104,63,10,75.34246575342466,7.543115992243201,-22.453971685192172,0.1465738252043411,-62.73761248021708,0.014657382520434107,0.014657382520434107,1.0264736367997878,0.25511204217734607,14.6,93.04809056795125,21.3997784798338,10021.399778479808,10021.399778479808,10000.0,1000.0,0.02193990000159829,2.596089499998925,2.999986463692039e-07,2.1999996533850208e-05,5.6101646999995864,0.006938000002264744,8.235181300002296
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,0.19802675075385195,4.104362226430318,190,125,30,29,10,74.73684210526315,7.708659617125725,-21.979673239188386,0.20844921132005478,-58.21953341567189,0.02084492113200548,0.02084492113200548,1.0375397510461664,0.2562912784111874,9.5,81.64347543414532,19.802675075405205,10019.802675075385,10019.802675075385,10000.0,1000.0,0.026089999999385327,2.9913845999981277,6.000009307172149e-07,3.5799999750452116e-05,5.3127002000001085,0.004234600000927458,8.334525399997801
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.12171222097973441,4.117470785789428,202,132,31,32,10,74.25742574257426,7.486898187870447,-22.064945622624574,-0.12050714948470659,-58.21953341567189,-0.012050714948470658,-0.012050714948470658,0.9787842700883685,-0.048380649295126824,10.1,82.64978684572662,-12.171222097955365,9987.828777902027,9987.828777902027,10000.0,1000.0,0.04092849999869941,2.899980100002722,5.000001692678779e-07,2.9599999834317714e-05,4.755147100000613,0.002995599999849219,7.699126100000285
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.33270537547092316,4.272600192816592,310,274,119,72,10,74.83870967741936,7.239290450896726,-22.385339226950883,-0.2146486293358983,-62.73761248021708,-0.021464862933589828,-0.021464862933589828,0.9618906509440831,-0.19270291268527634,15.5,96.30899163569362,-33.27053754706424,9966.729462452908,9966.729462452908,10000.0,1000.0,0.09611140000197338,5.603509100001247,5.000001692678779e-07,2.7500002033775672e-05,7.646616599999106,0.0020041999996465165,13.348304900002404
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,30,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.4401655856569232,4.272155550916041,336,298,130,77,10,74.40476190476191,6.742851126786044,-20.624952311951592,-0.26200332479561306,-62.73761248021708,-0.026200332479561307,-0.026200332479561307,0.9503688114574349,-0.277480108699772,16.8,96.95114512291461,-44.01655856566299,9955.983441434308,9955.983441434308,10000.0,1000.0,0.039056800000253133,2.874609899998177,5.999972927384079e-07,0.00010140000085812062,7.4159574000004795,0.005623500001092907,10.335393100001966
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.7561752299655564,3.795626920659457,224,134,22,27,10,65.17857142857143,6.545808923494668,-14.191322420811439,-0.6751564553262079,-70.97170127538095,-0.0675156455326208,-0.0675156455326208,0.8633734906042574,-0.810437553124597,11.2,68.71290405014011,-75.61752299653529,9924.382477003444,9924.382477003444,10000.0,1000.0,0.0529220999997051,4.124701900000218,5.999972927384079e-07,3.159999687341042e-05,6.872880999999325,0.004241599999659229,11.054823800001031
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.7642235587072901,3.79114365923859,208,123,19,24,10,65.38461538461539,6.848319806901255,-15.058558409444329,-0.7348303449106777,-70.97170127538095,-0.07348303449106776,-0.07348303449106776,0.8590274606034363,-0.8317322611543249,10.4,67.92360869308061,-76.42235587071048,9923.577644129271,9923.577644129271,10000.0,1000.0,0.035267899998871144,4.528673200002231,5.000001692678779e-07,3.1299998227041215e-05,6.21298310000202,0.002948999997897772,10.779940599997644
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-0.801813084196092,3.7663595424696763,198,117,18,21,10,66.66666666666666,6.811157157228801,-16.052050933233122,-0.8099122062585065,-70.97170127538095,-0.08099122062585065,-0.08099122062585065,0.8486338830544606,-0.8797991490353846,9.9,67.62809851698049,-80.18130841959214,9919.81869158039,9919.81869158039,10000.0,1000.0,0.027771699998993427,2.9765603999985615,2.999986463692039e-07,2.1800002286909148e-05,6.0306043999989924,0.005373200001486111,9.04035870000007
Custom,,,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-1.235753668155212,4.266834596664721,466,400,167,92,10,68.24034334763948,5.536007955280926,-13.564873401420984,-0.5303663811823417,-70.97170127538095,-0.05303663811823416,-0.05303663811823416,0.8768925193785059,-1.0072766457967077,23.3,91.08388812288482,-123.57536681548561,9876.424633184479,9876.424633184479,10000.0,1000.0,0.04829759999847738,4.74032299999817,5.000001692678779e-07,4.450000051292591e-05,5.28223860000071,0.0044806999976572115,10.07543920000171
Custom,,,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-1.254237189314681,4.094965156543962,426,348,135,81,10,66.66666666666666,6.1786864530637455,-14.123904158682851,-0.5888437508517873,-70.97170127538095,-0.058884375085178735,-0.058884375085178735,0.8749261370858734,-0.9910529388662763,21.3,93.78467861287655,-125.4237189314307,9874.576281068532,9874.576281068532,10000.0,1000.0,0.03334499999982654,3.2280711000021256,3.00002284348011e-07,2.130000211764127e-05,5.03677560000142,0.0017791999998735264,8.300018600002659
Custom,,,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-1.2614900805343312,3.2934646026646335,232,145,29,30,10,62.06896551724138,6.080704094122581,-12.817265973414457,-1.0874914487362957,-73.31987568488421,-0.10874914487362956,-0.10874914487362956,0.7763155640015935,-1.6742012359867382,11.6,57.90444290179772,-126.14900805341028,9873.850991946567,9873.850991946567,10000.0,1000.0,0.030736199998500524,2.5472995000018273,2.999986463692039e-07,2.2799998987466097e-05,5.4397097999972175,0.004164400001172908,8.021960999998555
Custom,,,mean_reversion,full_day,False,static_pct,0.0025,1.0,0.0,20,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-1.3535195052114433,4.178516474763063,382,309,118,74,10,66.49214659685863,6.547767327939775,-15.108100018272767,-0.7086489556078831,-70.97170127538095,-0.0708648955607883,-0.0708648955607883,0.8600171944629436,-1.1022375031695117,19.1,91.82149163476004,-135.35195052110566,9864.648049478856,9864.648049478856,10000.0,1000.0,0.020031799998832867,3.7373310000002675,3.9999940781854093e-07,3.18000020342879e-05,5.267922999999428,0.0022293999973044265,9.027591800000664
Custom,,,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-1.378331743130675,3.300526875980382,208,128,24,26,10,60.57692307692307,6.579181041597835,-13.47125804716368,-1.3253189837793007,-73.31987568488421,-0.13253189837793006,-0.13253189837793006,0.7504476027723018,-1.8650268048449663,10.4,56.97487680396939,-137.83317431304727,9862.166825686932,9862.166825686932,10000.0,1000.0,0.03818620000311057,5.3288638000012725,5.000001692678779e-07,3.2100000680657104e-05,8.380438799998956,0.004211799998302013,13.751780700000381
Custom,,,mean_reversion,morning_only,False,static_pct,0.0025,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,80.0,0.55,0.45,-1.557121266642189,3.309160496213219,198,121,22,25,10,58.58585858585859,6.704293257506475,-13.281978917062762,-1.5728497642848256,-73.31987568488421,-0.15728497642848255,-0.15728497642848255,0.7140594205409914,-2.150772606944149,9.9,56.02330393995653,-155.71212666419774,9844.287873335781,9844.287873335781,10000.0,1000.0,0.05182799999965937,4.912036400000943,6.000009307172149e-07,3.529999958118424e-05,8.529765999999654,0.004227100002026418,13.497942799996963
