regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,sma_bars,entry_threshold_pct,atr_multiple,atr_percentile_threshold,scope,symbol,realized_pnl,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,total_trades
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,portfolio,COMBINED,24.709796511736386,0.24709796511739116,0.5246307530965517,39.285714285714285,10.592116820094061,-5.400205206429312,0.08824927325620138,0.08824927325620138,1.26915966825415,1.2960169934444905,2.8,15.28711056522932,56
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,symbol,AAPL,25.21438805703849,0.756431641711165,0.6395885224103774,50.0,13.003546908626618,-4.598750889613787,0.4202398009506415,0.4202398009506415,2.8276258533583416,3.378110736194245,0.6,5.954666848684364,12
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,symbol,MSFT,49.2768714399391,1.4783061431981694,0.7414906516456384,66.66666666666666,11.284545590121203,-6.143467366929372,0.5475207937771012,0.5475207937771012,3.673673160816819,4.392261966953514,0.9,8.935997051101621,18
Custom,,,sma,combined_windows,False,static_pct,20,0.005,1.0,0.0,symbol,NVDA,-49.781462985241205,-1.4934438895572293,1.8207250895812477,15.384615384615385,4.897685377213804,-5.416075794515347,-0.3829343306557016,-0.3829343306557016,0.1644157659876683,-7.330672800081311,1.3,5.369650806947688,26
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,portfolio,COMBINED,16.987921962968244,0.16987921962972904,0.4123137229989494,33.33333333333333,11.088180702694217,-4.128430187766422,0.09437734423871247,0.09437734423871247,1.3429051962112972,1.0449508227651974,1.8,13.049314155847046,36
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,symbol,AAPL,12.500832648284018,0.37502497944853075,0.6420101543042763,50.0,8.76569510570846,-4.598750889613787,0.20834721080473362,0.20834721080473362,1.906103486819792,1.7959341816645078,0.6,5.566407781034529,12
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,symbol,MSFT,7.063123916993845,0.21189371750980174,0.8960173604502137,25.0,15.416674294469544,-3.961704111990874,0.08828904896242307,0.08828904896242307,1.2971416557677757,0.8507227617064822,0.8,6.719781955350579,16
Custom,,,sma,afternoon_only,False,static_pct,20,0.005,1.0,0.0,symbol,NVDA,-2.576034602309619,-0.07728103806928174,0.3755283064294799,25.0,9.398650310100834,-3.991561637470151,-0.06440086505774047,-0.06440086505774047,0.7848766275562006,-0.5317480011596077,0.4,3.7810372120681546,8
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,portfolio,COMBINED,13.631034608256073,0.13631034608257322,0.6025573554014779,35.483870967741936,10.650807969147557,-5.176392652618352,0.043971079381471205,0.043971079381471205,1.1316653847864608,0.7145625812996361,3.1,15.407123349889378,62
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,symbol,AAPL,22.07190319461813,0.6621570958385609,0.6401853902291376,42.857142857142854,13.003546908626618,-4.234684382815431,0.315312902780259,0.315312902780259,2.303042989708221,2.9200954937835633,0.7,6.030894956111152,14
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,symbol,MSFT,48.37123373681118,1.4511370121043456,0.6712207731191726,60.0,11.39214603005261,-4.995410610876121,0.48371233736811176,0.48371233736811176,3.420783670490281,4.284601533878498,1.0,8.990063910799504,20
Custom,,,sma,full_day,False,static_pct,20,0.005,1.0,0.0,symbol,NVDA,-56.812102323173235,-1.704363069695173,2.031001768405627,14.285714285714285,4.897685377213804,-5.550622756466737,-0.40580073087980884,-0.40580073087980884,0.1470611374644935,-8.167884708929673,1.4,5.49786456848817,28
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,portfolio,COMBINED,7.540696886552951,0.0754069688655727,0.4664441790053844,29.166666666666668,13.327954864816418,-5.044411009833057,0.03141957036063729,0.03141957036063729,1.0879330419798663,0.4954867622827091,2.4,12.327232541344557,48
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,symbol,AAPL,26.83978370737225,0.8051935112211503,0.38124465038247407,50.0,14.72769363930422,-1.3078017856180963,0.6709945926843063,0.6709945926843063,11.261411171987033,4.486377629939921,0.4,4.749523688829366,8
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,symbol,MSFT,26.555885346700393,0.7966765604010289,0.8943427072196442,33.33333333333333,18.01497534022629,-4.581506778996413,0.2950653927411155,0.2950653927411155,1.966053550636948,2.438671130600474,0.9,8.700395947095888,18
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,2.0,0.0,symbol,NVDA,-45.85497216751969,-1.3756491650255838,1.676078338510302,18.181818181818183,4.897685377213804,-6.183371435771922,-0.4168633833410881,-0.4168633833410881,0.1760163592911936,-6.474246109100746,1.1,5.606855353605473,22
Custom,,,sma,combined_windows,False,static_pct,20,0.01,1.0,0.0,portfolio,COMBINED,3.57666569051662,0.03576665690514346,0.5021802672200102,37.5,11.618108133191432,-6.613198310863197,0.022354160565728875,0.022354160565728875,1.0540837507419276,0.24563923216677322,1.6,12.007746602815526,32
Custom,,,sma,combined_windows,False,static_pct,20,0.01,1.0,0.0,symbol,AAPL,22.711989738155125,0.6813596921446605,0.3851521071727575,33.33333333333333,28.03054280740639,-2.659276534625633,0.7570663246051709,0.7570663246051709,5.270332446142626,3.416616824806494,0.3,5.28056495554427,6
Custom,,,sma,combined_windows,False,static_pct,20,0.01,1.0,0.0,symbol,MSFT,30.83974068406394,0.9251922205219216,0.44241035585930577,75.0,10.627578412438197,-1.0429945532506508,0.7709935171015986,0.7709935171015986,30.56845804031019,4.153228371898004,0.4,5.913628650905449,8
Custom,,,sma,combined_windows,False,static_pct,20,0.01,1.0,0.0,symbol,NVDA,-49.975064731702446,-1.4992519419510564,1.4992519419510564,22.22222222222222,4.897685377213804,-8.538633640875721,-0.5552784970189161,-0.5552784970189161,0.16388320872617132,-6.711399079827363,0.9,5.909439266918357,18
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,1.5,0.0,portfolio,COMBINED,3.350419072145087,0.03350419072143268,0.5662348016872988,32.25806451612903,11.248018040326542,-5.196655301481921,0.010807803458532538,0.010807803458532538,1.0307012407181877,0.18847045869855336,3.1,15.077025281233121,62
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,1.5,0.0,symbol,AAPL,12.457915953849465,0.3737374786154805,0.6967932135845628,37.5,11.88316504450385,-4.638315835932417,0.15572394942311832,0.15572394942311832,1.5371741120921367,1.4870339637341825,0.8,6.728893412173752,16
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,1.5,0.0,symbol,MSFT,35.63508455741419,1.0690525367224428,0.8041471909128308,50.0,11.9035888294919,-4.776571918009063,0.3563508455741419,0.3563508455741419,2.4920777984336246,3.2263382145167983,1.0,8.809824733879468,20
Custom,,,sma,combined_windows,False,atr_multiple,20,0.0,1.5,0.0,symbol,NVDA,-44.74258143911857,-1.3422774431735431,1.6700191259298807,15.384615384615385,8.656370561147185,-5.6413929601284485,-0.34417370337783515,-0.34417370337783515,0.278988818487904,-6.091213750467924,1.3,5.802472488507287,26
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.0,0.0,portfolio,COMBINED,3.1421333926940633,0.031421333926900843,0.5474419402268267,32.0,9.906966586714077,-4.477270547118739,0.012568533570776252,0.012568533570776252,1.0412821548520832,0.24685095149122077,2.5,10.430911675145769,50
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.0,0.0,symbol,AAPL,20.775938781276068,0.6232781634382855,0.3565408648305953,25.0,28.03054280740639,-2.418201342043441,0.5193984695319017,0.5193984695319017,3.863828088541196,3.5746408368181872,0.4,4.614243120511718,8
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.0,0.0,symbol,MSFT,26.68197714819439,0.8004593144458385,0.4478231122364761,60.0,7.218516512352115,-4.1572804814795745,0.2668197714819439,0.2668197714819439,2.6045331357278476,3.1611178315330513,1.0,6.708069906709749,20
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.0,0.0,symbol,NVDA,-44.315782536776396,-1.329473476103285,1.6572541622620447,9.090909090909092,7.914090812193535,-5.2229873348969935,-0.4028707503343309,-0.4028707503343309,0.15152421985242312,-8.239291100295068,1.1,4.261344713375386,22
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.5,0.0,portfolio,COMBINED,1.5180261725593027,0.01518026172559985,0.5447327578963822,33.33333333333333,11.018529606884758,-5.400834362545287,0.007228696059806204,0.007228696059806204,1.0200766092085802,0.12202717191766248,2.1,10.580186311512113,42
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.5,0.0,symbol,AAPL,21.77447937579177,0.6532343812737462,0.2393325205536985,33.33333333333333,28.03054280740639,-3.1280317158073103,0.725815979193059,0.725815979193059,4.480540057467419,3.7602380325589886,0.3,4.597299708484919,6
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.5,0.0,symbol,MSFT,26.039666913905876,0.7811900074171763,0.4060268003459095,71.42857142857143,8.237014725718677,-7.572703357343755,0.3719952416272268,0.3719952416272268,2.7193111683592806,3.0240138931179303,0.7,6.845967188670562,14
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,1.5,0.0,symbol,NVDA,-46.296120117138344,-1.388883603514123,1.7164833147379548,9.090909090909092,7.914090812193535,-5.421021092933188,-0.4208738192467122,-0.4208738192467122,0.1459889322790184,-8.42074273367578,1.1,4.355578129186974,22
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,0.5,0.0,portfolio,COMBINED,1.3464531569391056,0.013464531569388783,0.5491455713185242,37.93103448275862,8.368103419069929,-5.039038025157229,0.0046429419204796745,0.0046429419204796745,1.0148446891628586,0.10512624076782565,2.9,11.074981785277224,58
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,0.5,0.0,symbol,AAPL,1.7324414451974235,0.05197324335593294,0.6477991112465861,25.0,15.11332572849608,-4.749035001965789,0.021655518064967794,0.021655518064967794,1.0607997710580608,0.25706411675925206,0.8,5.627922595284392,16
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,0.5,0.0,symbol,MSFT,33.19098337779087,0.9957295013336852,0.4001310112489027,70.0,7.084015887001946,-5.465709277074249,0.3319098337779087,0.3319098337779087,3.024194951666471,3.894292918581926,1.0,6.7674847172691415,20
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,0.5,0.0,symbol,NVDA,-33.57697166604919,-1.0073091499814655,1.3360712120519913,18.181818181818183,6.117187471881721,-5.090149623312515,-0.30524519696408353,-0.30524519696408353,0.2670599283615662,-6.04108241250943,1.1,4.405891756140836,22
Custom,,,sma,full_day,False,atr_multiple,20,0.0,1.5,0.0,portfolio,COMBINED,-3.472010913871145,-0.03472010913868871,0.6413252465392021,30.303030303030305,11.312578304285386,-5.069469302466305,-0.010521245193548924,-0.010521245193548924,0.9702223275754276,-0.1702207935131133,3.3,15.129141496644102,66
Custom,,,sma,full_day,False,atr_multiple,20,0.0,1.5,0.0,symbol,AAPL,12.457915953849465,0.3737374786154805,0.6967932135845628,37.5,11.88316504450385,-4.638315835932417,0.15572394942311832,0.15572394942311832,1.5371741120921367,1.4870339637341825,0.8,6.728893412173752,16
Custom,,,sma,full_day,False,atr_multiple,20,0.0,1.5,0.0,symbol,MSFT,36.32422095786433,1.0897266287359297,0.7438009069921666,45.45454545454545,12.03270935740959,-3.9732209715306035,0.33022019052603935,0.33022019052603935,2.5237100754500763,3.332142177613902,1.1,8.690894994578924,22
Custom,,,sma,full_day,False,atr_multiple,20,0.0,1.5,0.0,symbol,NVDA,-52.25414782558494,-1.5676244347675312,1.8946796662584489,14.285714285714285,8.656370561147185,-5.797240745656609,-0.3732439130398924,-0.3732439130398924,0.24886467375686971,-6.942250931184,1.4,5.943439655058424,28
Custom,,,sma,afternoon_only,False,static_pct,20,0.01,1.0,0.0,portfolio,COMBINED,-3.6544892739935904,-0.03654489273994841,0.2351951255807094,20.0,9.398650310100834,-3.263284896023606,-0.0730897854798718,-0.0730897854798718,0.7200298632792775,-0.554324350444499,0.5,5.193948815816493,10
Custom,,,sma,afternoon_only,False,static_pct,20,0.01,1.0,0.0,symbol,AAPL,-5.318553069251266,-0.15955659207753797,0.3851521071727575,0.0,0.0,-2.659276534625633,-0.26592765346256325,-0.26592765346256325,0.0,-1.4660590650444052,0.2,2.8659454234815525,4
Custom,,,sma,afternoon_only,False,static_pct,20,0.01,1.0,0.0,symbol,MSFT,-7.7345865148431585,-0.23203759544529476,0.44751900273686573,0.0,0.0,-3.8672932574215793,-0.3867293257421579,-0.3867293257421579,0.0,-1.739644152414296,0.2,3.5145370755717473,4
Custom,,,sma,afternoon_only,False,static_pct,20,0.01,1.0,0.0,symbol,NVDA,9.398650310100834,0.28195950930302843,0.32011933700454603,100.0,9.398650310100834,0.0,0.9398650310100833,0.9398650310100833,inf,4.350506415733577,0.1,1.7148470725073082,2
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,2.0,0.0,portfolio,COMBINED,-4.291421492893846,-0.04291421492895097,0.4828418753020257,31.25,13.244240268628232,-6.410238439639546,-0.02682138433058654,-0.02682138433058654,0.9391396700293959,-0.3174406385070692,1.6,10.447722606938859,32
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,2.0,0.0,symbol,AAPL,22.77546033713395,0.6832638101140083,0.19883638156663608,50.0,28.03054280740639,-5.255082470272441,1.1387730168566974,1.1387730168566974,5.333987233496869,3.9481992816799276,0.2,4.579692387233352,4
Custom,,,sma,morning_only,False,atr_multiple,20,0.0,2.0,0.0,symbol,MSFT,17.62368136838711,0.5287104410516167,0.4808375821031906,60.0,12.597979363802665,-10.085128361510442,0.3524736273677422,0.3524736273677422,1.873746011783415,1.9637695771947514,0.5,7.1668139773339234,10
