regime,start_date,end_date,strategy_mode,time_window_mode,regime_filter_enabled,threshold_mode,entry_threshold_pct,atr_multiple,atr_percentile_threshold,sma_bars,orb_filter_mode,breakout_exit_style,breakout_tight_stop_fraction,mean_reversion_exit_style,mean_reversion_max_atr_percentile,trend_pullback_exit_style,trend_pullback_hold_bars,trend_pullback_take_profit_pct,trend_pullback_research_exit_fill,momentum_breakout_lookback_bars,momentum_breakout_entry_buffer_pct,momentum_breakout_min_adx,momentum_breakout_min_slope,momentum_breakout_min_atr_percentile,momentum_breakout_exit_style,momentum_breakout_hold_bars,momentum_breakout_stop_pct,momentum_breakout_take_profit_pct,volatility_expansion_lookback_bars,volatility_expansion_entry_buffer_pct,volatility_expansion_max_atr_percentile,volatility_expansion_trend_filter,volatility_expansion_min_slope,volatility_expansion_use_volume_confirm,volatility_expansion_exit_style,volatility_expansion_hold_bars,volatility_expansion_stop_pct,volatility_expansion_take_profit_pct,ml_probability_buy,ml_probability_sell,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,expectancy,max_loss_trade,avg_return_per_trade_pct,avg_move_captured_pct,profit_factor,sharpe_ratio,trades_per_day,pnl_stability,realized_pnl,final_equity,final_cash,starting_capital,position_size,timing_load_seconds,timing_precompute_seconds,timing_model_load_seconds,timing_ml_precompute_seconds,timing_simulate_seconds,timing_finalize_seconds,timing_total_seconds
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.317055997262687,0.8368028020367232,112,203,147,48,10,44.642857142857146,8.37476340270528,-7.776602735286808,-0.5661714236831971,-31.676056509985187,-0.05661714236831971,-0.05661714236831971,0.868482251658377,-4.691060184865187,18.666666666666668,17.873859776818534,-31.705599726259038,9968.294400273731,9968.294400273731,10000.0,1000.0,0.01714360000914894,0.5702517000027001,3.00002284348011e-07,1.1099997209385037e-05,0.8100971000094432,0.0005317000031936914,1.3980608000128996
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.31907140098019227,0.8559867384498364,112,238,182,60,10,48.214285714285715,7.933965035530525,-8.487041243356472,-0.569770358893099,-31.676056509985187,-0.0569770358893099,-0.0569770358893099,0.8703616279539604,-4.644984447850087,18.666666666666668,18.164107273094352,-31.907140098013542,9968.09285990198,9968.09285990198,10000.0,1000.0,0.011049299995647743,0.44279839997761883,2.00001522898674e-07,1.0599993402138352e-05,0.6998460000031628,0.0004416000156197697,1.1541697999928147
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.35493187313275487,0.9167285376530014,70,48,13,10,9,51.42857142857142,8.96851307080008,-11.583907211039659,-1.0140910660935074,-31.676056509985187,-0.10140910660935074,-0.10140910660935074,0.8197642203271593,-5.225026441933062,11.666666666666666,17.938091058260532,-35.493187313272756,9964.506812686725,9964.506812686725,10000.0,1000.0,0.013646800012793392,0.6948642999923322,4.00003045797348e-07,1.3200013199821115e-05,0.6013669999956619,0.0005302999925334007,1.310447900003055
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.37620744081636076,0.5986348246126869,30,15,0,3,5,33.33333333333333,4.446927758363676,-5.985538287345298,-2.5080496054423067,-12.049846200700586,-0.2508049605442307,-0.2508049605442307,0.37147266836179366,-7.246568314184273,5.0,13.70953456703937,-37.6207440816346,9962.379255918364,9962.379255918364,10000.0,1000.0,0.012695500015979633,0.5234635999950115,3.00002284348011e-07,1.1199997970834374e-05,0.6011035999981686,0.00042290001874789596,1.1377154999936465
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.3833771851108213,0.9710671437421676,66,42,9,7,9,48.484848484848484,9.639788609224674,-11.327902132863006,-1.1617490457901918,-31.676056509985187,-0.11617490457901919,-0.11617490457901919,0.8009198979682316,-5.618060999529444,11.0,18.01606990929957,-38.33771851107633,9961.662281488918,9961.662281488918,10000.0,1000.0,0.018907599995145574,0.652727499982575,3.00002284348011e-07,9.69998654909432e-06,0.7167545999982394,0.0010550000006332994,1.3894736999936868
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.39177187469591446,0.9794455440587869,66,45,12,9,9,48.484848484848484,9.639788609224674,-11.377282659834089,-1.1871874990783253,-31.676056509985187,-0.11871874990783254,-0.11871874990783254,0.79744368595823,-5.668386340987598,11.0,18.247423021505128,-39.17718746958474,9960.822812530409,9960.822812530409,10000.0,1000.0,0.013301300001330674,0.4410922999959439,2.00001522898674e-07,1.170000177808106e-05,0.9449659999809228,0.0013260999985504895,1.4007204000081401
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.42586177667801167,0.6830529795785697,40,20,0,4,6,45.0,3.142635501924145,-6.442717925919541,-2.129308883389882,-13.626993538578517,-0.2129308883389882,-0.2129308883389882,0.39909355933506047,-7.557074107068326,6.666666666666667,14.884230147146884,-42.58617766779764,9957.413822332199,9957.413822332199,10000.0,1000.0,0.011688099999446422,0.43462869999348186,3.00002284348011e-07,9.200011845678091e-06,0.5127554000064265,0.0004969000001437962,0.9595945999899413
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.43989063568442355,0.6974539861729149,32,16,0,4,6,31.25,4.446927758363676,-6.020336578205346,-2.749316473027527,-13.626993538578517,-0.27493164730275266,-0.27493164730275266,0.3357504639481091,-7.897029019481658,5.333333333333333,14.712312955078957,-43.98906356844043,9956.010936431558,9956.010936431558,10000.0,1000.0,0.01356539997505024,0.532520700013265,2.00001522898674e-07,1.1899974197149277e-05,0.5862898000050336,0.0004434000002220273,1.1328523999836762
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,0.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.4417415052943397,0.856089597228422,112,177,121,38,10,44.642857142857146,8.213516617213122,-8.048776321282348,-0.7888241165968708,-31.676056509985187,-0.07888241165968708,-0.07888241165968708,0.8229578583323893,-6.593341718964832,18.666666666666668,17.736021392044858,-44.174150529424764,9955.825849470566,9955.825849470566,10000.0,1000.0,0.014627199998358265,0.5402264000149444,3.00002284348011e-07,1.4399993233382702e-05,0.8058290999906603,0.0004189999890513718,1.3611458000086714
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,sma,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.49213339645379167,1.42127799265574,130,67,2,12,10,66.15384615384615,4.700364096076542,-11.424045262575305,-0.7571283022363909,-46.60282854885463,-0.07571283022363909,-0.07571283022363909,0.8041875769515316,-5.400736555189692,21.666666666666668,24.131009646145515,-49.21333964536541,9950.78666035462,9950.78666035462,10000.0,1000.0,0.011545099987415597,0.5646531999809667,3.00002284348011e-07,9.499985026195645e-06,0.8513800000073388,0.003272400004789233,1.4308789999922737
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.5294538702805767,0.6310483354975418,30,15,0,3,7,40.0,8.108055772004226,-11.288191295564097,-3.5296924685367683,-16.58238498343735,-0.35296924685367687,-0.35296924685367687,0.4788517817547638,-9.662577802619015,5.0,14.47830513362297,-52.94538702805153,9947.054612971942,9947.054612971942,10000.0,1000.0,0.013800699991406873,0.5920803000044543,4.00003045797348e-07,2.2199994418770075e-05,0.788514199986821,0.0005050000036135316,1.394978299998911
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.530766946265685,1.00247540785163,114,116,59,30,10,43.859649122807014,7.701544698688817,-7.675478502930602,-0.9311700811676988,-18.912254013317124,-0.09311700811676989,-0.09311700811676989,0.7839031525595871,-6.458940592353386,19.0,21.75091829590899,-53.07669462655883,9946.923305373432,9946.923305373432,10000.0,1000.0,0.010735999996541068,0.44701350000104867,2.00001522898674e-07,9.400013368576765e-06,0.5287288000108674,0.0027751999732572585,0.9892809999873862
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.002,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.5519985170122345,0.9921283529755791,114,68,11,12,10,43.859649122807014,5.765051314831726,-6.228941705375405,-0.9684184508985932,-16.58238498343735,-0.09684184508985932,-0.09684184508985932,0.7230676658645728,-6.879976663355054,19.0,21.229418902883587,-55.19985170121981,9944.800148298777,9944.800148298777,10000.0,1000.0,0.011625300016021356,0.45011689999955706,2.00001522898674e-07,9.899988071992993e-06,0.5707603999762796,0.00047890000860206783,1.0330098000122234
Custom,2026-04-14,2026-04-21,mean_reversion,morning_only,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.5748136823371169,0.684542767111813,38,19,0,3,8,47.368421052631575,6.857490524126989,-11.919878295085017,-3.025335170195119,-17.275796275180596,-0.3025335170195119,-0.3025335170195119,0.5177688327790323,-8.418007375148303,6.333333333333333,18.03434186824938,-57.48136823370726,9942.518631766288,9942.518631766288,10000.0,1000.0,0.016034900007070974,0.6318967000115663,3.00002284348011e-07,1.069999416358769e-05,0.7657875999866519,0.0009716000058688223,1.4147215000120923
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.0015,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,60.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.5910001222120081,1.021190790100906,112,88,32,22,10,42.857142857142854,5.789415735047835,-6.188937183198274,-1.0553573610927987,-17.275796275180596,-0.10553573610927985,-0.10553573610927985,0.7015844033889543,-6.967177175479534,18.666666666666668,22.446369142261222,-59.10001222119672,9940.8999877788,9940.8999877788,10000.0,1000.0,0.012834699999075383,0.45463270001346245,3.00002284348011e-07,8.799979696050286e-06,0.5197318999853451,0.00043089999235235155,0.9876578999974299
Custom,2026-04-14,2026-04-21,mean_reversion,full_day,False,static_pct,0.001,1.0,0.0,15,none,target_1x_stop_low,0.5,eod,80.0,fixed_bars,4,0.0,next_open,20,0.001,20.0,0.0,20.0,fixed_bars,3,0.0,0.0,20,0.001,0.0,False,0.0,True,fixed_bars,4,0.0,0.0,0.55,0.45,-0.5922412472647375,1.0788546464201925,112,183,127,56,10,48.214285714285715,6.880404652915314,-8.448105184661374,-1.0575736558297564,-18.912254013317124,-0.10575736558297565,-0.10575736558297565,0.7582639949639529,-6.9900674765948905,18.666666666666668,22.44032383052805,-59.22412472646636,9940.775875273526,9940.775875273526,10000.0,1000.0,0.011952500004554167,0.5039871000044513,3.00002284348011e-07,9.69998654909432e-06,0.5270310000050813,0.0004133000038564205,1.0434130000066943
